Entity,Code,Year,GDP per capita
World,OWID_WRL,1950,4600
World,OWID_WRL,1951,nan
World,OWID_WRL,1952,nan
World,OWID_WRL,1953,nan
World,OWID_WRL,1954,nan
World,OWID_WRL,1955,nan
World,OWID_WRL,1956,nan
World,OWID_WRL,1957,nan
World,OWID_WRL,1958,nan
World,OWID_WRL,1959,nan
World,OWID_WRL,1960,6000
World,OWID_WRL,1961,nan
World,OWID_WRL,1962,nan
World,OWID_WRL,1963,nan
World,OWID_WRL,1964,nan
World,OWID_WRL,1965,nan
World,OWID_WRL,1966,nan
World,OWID_WRL,1967,nan
World,OWID_WRL,1968,nan
World,OWID_WRL,1969,nan
World,OWID_WRL,1970,8200
World,OWID_WRL,1971,nan
World,OWID_WRL,1972,nan
World,OWID_WRL,1973,nan
World,OWID_WRL,1974,nan
World,OWID_WRL,1975,nan
World,OWID_WRL,1976,nan
World,OWID_WRL,1977,nan
World,OWID_WRL,1978,nan
World,OWID_WRL,1979,nan
World,OWID_WRL,1980,9900
World,OWID_WRL,1981,nan
World,OWID_WRL,1982,nan
World,OWID_WRL,1983,nan
World,OWID_WRL,1984,nan
World,OWID_WRL,1985,nan
World,OWID_WRL,1986,nan
World,OWID_WRL,1987,nan
World,OWID_WRL,1988,nan
World,OWID_WRL,1989,nan
World,OWID_WRL,1990,11275.134
World,OWID_WRL,1991,11183.411
World,OWID_WRL,1992,11147.558
World,OWID_WRL,1993,11138.332
World,OWID_WRL,1994,11264.777
World,OWID_WRL,1995,11442.804
World,OWID_WRL,1996,11691.708
World,OWID_WRL,1997,11979.724
World,OWID_WRL,1998,12098.403
World,OWID_WRL,1999,12360.743
World,OWID_WRL,2000,12780.638
World,OWID_WRL,2001,12915.056
World,OWID_WRL,2002,13104.347
World,OWID_WRL,2003,13410.598
World,OWID_WRL,2004,13921.34
World,OWID_WRL,2005,14377.205
World,OWID_WRL,2006,14934.693
World,OWID_WRL,2007,15519.537
World,OWID_WRL,2008,15756.197
World,OWID_WRL,2009,15456.593
World,OWID_WRL,2010,16050.853
World,OWID_WRL,2011,16478.65
World,OWID_WRL,2012,16785.055
World,OWID_WRL,2013,17121.723
World,OWID_WRL,2014,17502.781
World,OWID_WRL,2015,17870.98
World,OWID_WRL,2016,18234.02
World,OWID_WRL,2017,18714.574
World,OWID_WRL,2018,19189.492
World,OWID_WRL,2019,19551.086
World,OWID_WRL,2020,18812.492
World,OWID_WRL,2021,19875.566
World,OWID_WRL,2022,20421.734
World,OWID_WRL,2023,20894.867
World,OWID_WRL,2024,21393.184
World,OWID_WRL,2025,21913.51
