Entity,Code,Year,Average,Lower bound,Upper bound
Northern Hemisphere,OWID_NH,1850,-0.073777415,-0.2820567,0.13450183
Northern Hemisphere,OWID_NH,1851,0.098980926,-0.113960214,0.31192204
Northern Hemisphere,OWID_NH,1852,0.15589593,-0.053691905,0.36548376
Northern Hemisphere,OWID_NH,1853,0.14953533,-0.06640691,0.3654776
Northern Hemisphere,OWID_NH,1854,0.20109834,0.0060110292,0.39618564
Northern Hemisphere,OWID_NH,1855,0.1444341,-0.05689944,0.34576765
Northern Hemisphere,OWID_NH,1856,0.03352334,-0.17273279,0.23977944
Northern Hemisphere,OWID_NH,1857,-0.07050068,-0.27881312,0.13781177
Northern Hemisphere,OWID_NH,1858,0.005781611,-0.20603754,0.21760075
Northern Hemisphere,OWID_NH,1859,0.109285735,-0.087557085,0.30612853
Northern Hemisphere,OWID_NH,1860,-0.111092575,-0.31254852,0.090363376
Northern Hemisphere,OWID_NH,1861,-0.08937735,-0.3436792,0.16492452
Northern Hemisphere,OWID_NH,1862,-0.35464358,-0.60478747,-0.104499705
Northern Hemisphere,OWID_NH,1863,0.0070293746,-0.27610385,0.29016265
Northern Hemisphere,OWID_NH,1864,-0.13273264,-0.39719528,0.13173003
Northern Hemisphere,OWID_NH,1865,-0.09758232,-0.39972246,0.2045578
Northern Hemisphere,OWID_NH,1866,-0.10075755,-0.37695986,0.17544478
Northern Hemisphere,OWID_NH,1867,-0.100052066,-0.3935631,0.19345896
Northern Hemisphere,OWID_NH,1868,0.0028171742,-0.26178837,0.26742277
Northern Hemisphere,OWID_NH,1869,0.12987994,-0.10100079,0.3607607
Northern Hemisphere,OWID_NH,1870,0.07078218,-0.14560153,0.28716582
Northern Hemisphere,OWID_NH,1871,-0.06779022,-0.29296684,0.1573864
Northern Hemisphere,OWID_NH,1872,0.061329264,-0.1496823,0.2723408
Northern Hemisphere,OWID_NH,1873,0.044439096,-0.15524693,0.24412513
Northern Hemisphere,OWID_NH,1874,0.10543337,-0.0850623,0.295929
Northern Hemisphere,OWID_NH,1875,-0.0830752,-0.27297503,0.10682466
Northern Hemisphere,OWID_NH,1876,-0.025279293,-0.21280731,0.16224873
Northern Hemisphere,OWID_NH,1877,0.31682566,0.14005585,0.49359548
Northern Hemisphere,OWID_NH,1878,0.49567378,0.32153663,0.6698109
Northern Hemisphere,OWID_NH,1879,0.073232345,-0.108155526,0.25462022
Northern Hemisphere,OWID_NH,1880,0.022857478,-0.15795411,0.2036691
Northern Hemisphere,OWID_NH,1881,0.13360901,-0.03354175,0.3007598
Northern Hemisphere,OWID_NH,1882,0.053339053,-0.12261254,0.2292907
Northern Hemisphere,OWID_NH,1883,-0.010645697,-0.1649145,0.1436231
Northern Hemisphere,OWID_NH,1884,-0.21724619,-0.36177534,-0.07271702
Northern Hemisphere,OWID_NH,1885,-0.10243819,-0.24896897,0.044092584
Northern Hemisphere,OWID_NH,1886,-0.039460164,-0.19085349,0.111933134
Northern Hemisphere,OWID_NH,1887,-0.09168903,-0.24755467,0.06417658
Northern Hemisphere,OWID_NH,1888,0.022743097,-0.14337195,0.18885812
Northern Hemisphere,OWID_NH,1889,0.12757947,-0.03814764,0.2933066
Northern Hemisphere,OWID_NH,1890,-0.12365354,-0.29449338,0.047186304
Northern Hemisphere,OWID_NH,1891,-0.014844099,-0.18839712,0.15870889
Northern Hemisphere,OWID_NH,1892,-0.18340851,-0.3572886,-0.009528348
Northern Hemisphere,OWID_NH,1893,-0.1652586,-0.33629048,0.005773296
Northern Hemisphere,OWID_NH,1894,-0.046401333,-0.21408261,0.12127995
Northern Hemisphere,OWID_NH,1895,-0.046637397,-0.21359177,0.120317034
Northern Hemisphere,OWID_NH,1896,0.104054056,-0.054555427,0.26266354
Northern Hemisphere,OWID_NH,1897,0.14531308,-0.015417645,0.30604383
Northern Hemisphere,OWID_NH,1898,-0.02368171,-0.17781217,0.13044874
Northern Hemisphere,OWID_NH,1899,0.07397684,-0.080575295,0.22852898
Northern Hemisphere,OWID_NH,1900,0.20433767,0.051559675,0.3571157
Northern Hemisphere,OWID_NH,1901,0.18384227,0.031925905,0.33575863
Northern Hemisphere,OWID_NH,1902,-0.07051147,-0.22396208,0.08293911
Northern Hemisphere,OWID_NH,1903,-0.12279058,-0.26415366,0.01857253
Northern Hemisphere,OWID_NH,1904,-0.19010295,-0.33407873,-0.04612724
Northern Hemisphere,OWID_NH,1905,-0.01179106,-0.14177735,0.11819523
Northern Hemisphere,OWID_NH,1906,0.1338047,-0.01043869,0.27804807
Northern Hemisphere,OWID_NH,1907,-0.14339007,-0.27186322,-0.014916996
Northern Hemisphere,OWID_NH,1908,-0.07848827,-0.21141137,0.054434825
Northern Hemisphere,OWID_NH,1909,-0.10194645,-0.22285898,0.01896607
Northern Hemisphere,OWID_NH,1910,-0.084480025,-0.20815207,0.03919201
Northern Hemisphere,OWID_NH,1911,-0.06706355,-0.18287207,0.048744965
Northern Hemisphere,OWID_NH,1912,-0.14384963,-0.25404865,-0.03365056
Northern Hemisphere,OWID_NH,1913,-0.10025064,-0.21515061,0.014649382
Northern Hemisphere,OWID_NH,1914,0.12209263,0.013402423,0.23078282
Northern Hemisphere,OWID_NH,1915,0.21285439,0.10220116,0.32350764
Northern Hemisphere,OWID_NH,1916,-0.057961654,-0.16273715,0.046813834
Northern Hemisphere,OWID_NH,1917,-0.19494094,-0.30412686,-0.085755
Northern Hemisphere,OWID_NH,1918,-0.07832254,-0.1787708,0.022125712
Northern Hemisphere,OWID_NH,1919,0.0081692245,-0.10540099,0.12173944
Northern Hemisphere,OWID_NH,1920,0.07509451,-0.035168123,0.18535717
Northern Hemisphere,OWID_NH,1921,0.22816698,0.12118723,0.33514675
Northern Hemisphere,OWID_NH,1922,0.08795624,-0.017333725,0.19324623
Northern Hemisphere,OWID_NH,1923,0.14310461,0.04481988,0.24138935
Northern Hemisphere,OWID_NH,1924,0.20498978,0.11086341,0.29911616
Northern Hemisphere,OWID_NH,1925,0.21961543,0.12874214,0.31048873
Northern Hemisphere,OWID_NH,1926,0.38472545,0.2875201,0.4819308
Northern Hemisphere,OWID_NH,1927,0.2849049,0.1995111,0.37029868
Northern Hemisphere,OWID_NH,1928,0.2972249,0.1987684,0.3956814
Northern Hemisphere,OWID_NH,1929,0.056118328,-0.022349605,0.13458629
Northern Hemisphere,OWID_NH,1930,0.3670836,0.28729567,0.44687158
Northern Hemisphere,OWID_NH,1931,0.42698085,0.3444039,0.5095578
Northern Hemisphere,OWID_NH,1932,0.34266478,0.260731,0.42459854
Northern Hemisphere,OWID_NH,1933,0.111682706,0.034610886,0.18875451
Northern Hemisphere,OWID_NH,1934,0.33137807,0.25251135,0.41024476
Northern Hemisphere,OWID_NH,1935,0.28793383,0.2144707,0.36139694
Northern Hemisphere,OWID_NH,1936,0.32406855,0.24709505,0.40104204
Northern Hemisphere,OWID_NH,1937,0.5144944,0.4355287,0.5934602
Northern Hemisphere,OWID_NH,1938,0.5438074,0.47092932,0.6166855
Northern Hemisphere,OWID_NH,1939,0.43821496,0.3654806,0.5109493
Northern Hemisphere,OWID_NH,1940,0.50391626,0.4166342,0.59119827
Northern Hemisphere,OWID_NH,1941,0.46105433,0.29796007,0.6241486
Northern Hemisphere,OWID_NH,1942,0.4485491,0.2858634,0.6112347
Northern Hemisphere,OWID_NH,1943,0.5046825,0.34833568,0.66102934
Northern Hemisphere,OWID_NH,1944,0.613337,0.4594372,0.7672367
Northern Hemisphere,OWID_NH,1945,0.4768613,0.32530272,0.6284199
Northern Hemisphere,OWID_NH,1946,0.3781811,0.26765847,0.48870376
Northern Hemisphere,OWID_NH,1947,0.43241307,0.336592,0.5282342
Northern Hemisphere,OWID_NH,1948,0.38890228,0.29857317,0.47923142
Northern Hemisphere,OWID_NH,1949,0.3188045,0.244323,0.393286
Northern Hemisphere,OWID_NH,1950,0.19303454,0.13298617,0.25308293
Northern Hemisphere,OWID_NH,1951,0.4374271,0.3837262,0.49112803
Northern Hemisphere,OWID_NH,1952,0.45554984,0.39403462,0.51706505
Northern Hemisphere,OWID_NH,1953,0.59430516,0.5356155,0.6529949
Northern Hemisphere,OWID_NH,1954,0.3561638,0.3036252,0.4087024
Northern Hemisphere,OWID_NH,1955,0.2611475,0.20314379,0.31915122
Northern Hemisphere,OWID_NH,1956,0.107248984,0.05444159,0.16005637
Northern Hemisphere,OWID_NH,1957,0.35430348,0.3064137,0.40219322
Northern Hemisphere,OWID_NH,1958,0.47330314,0.4254836,0.5211227
Northern Hemisphere,OWID_NH,1959,0.43771437,0.3909252,0.48450354
Northern Hemisphere,OWID_NH,1960,0.3923116,0.35397288,0.4306503
Northern Hemisphere,OWID_NH,1961,0.38800123,0.3509081,0.42509437
Northern Hemisphere,OWID_NH,1962,0.4422632,0.40490067,0.47962567
Northern Hemisphere,OWID_NH,1963,0.4658189,0.42604905,0.50558877
Northern Hemisphere,OWID_NH,1964,0.1334417,0.09321474,0.17366865
Northern Hemisphere,OWID_NH,1965,0.19689219,0.1563444,0.23743996
Northern Hemisphere,OWID_NH,1966,0.3045283,0.26388744,0.3451692
Northern Hemisphere,OWID_NH,1967,0.3519342,0.31603134,0.38783705
Northern Hemisphere,OWID_NH,1968,0.25333112,0.22326244,0.28339982
Northern Hemisphere,OWID_NH,1969,0.2908729,0.2621795,0.31956634
Northern Hemisphere,OWID_NH,1970,0.2672872,0.23893034,0.29564407
Northern Hemisphere,OWID_NH,1971,0.16236106,0.13321792,0.1915042
